,Comments
13882,best part uncle aunty ke reaction
13883,"Finally
Abhi padh lo baad me maze krna
Khatam huaa
Feeling happy for you bhaiya"
13884,"VIDEO DEKHTE TIME MERE FACE PE AK ALAG HE LEVEL KI KHUSHI THI ❤️
#FINALLYPLACED"
13885,relating to every line of yours 🙃 being middle class is not easy
13886,Loved the Camera work ❤️
13887,"Bhai itne acche parents😭😭😭
Pihle saal Mera jee advance ka result Aya maera iit madras me selection ho gya tha, to Mai bhi aise maje lene ko Sochi, Bhai itni maar padi, aur Sach batane p aur maar padi☹️"
13888,Congratulations
13889,Bhaiya congratulations
13890,Finally bhai ka placement hogya dill se khushi hai bro
13891,Bhaiya naam kya hai company ka apki
13892,congrats bhai
13893,Bhaiiii kya he bolu ab 🔥🔥 apne phod dia 🔥🔥 placement ka aisa cinematic videos sayed koi vi nahi banaya aj tak. Love you broo ❤️
13894,Congrats bhaii ❤️💖
13895,"Proud of u , Bhaiya...Keep shining always! U r an inspiration always...✨💜"
13896,Congratulations bro 👍may you get more success 🙂
13897,Next video suggestion- what technologies should newbies learn for good placement
13898,"'main andar se toot gyi thi.. Tere ko dilasa de rhi thi' 
🥺🥺🥺🥺🥺😢😢😢😢😢"
13899,"First of all, a big congratulations to you!! 🎉
I commented on one of your older videos, saying natural vlogs banao... Well, this is by far one of the best vlogs I've ever seen!"
13900,Big Congratulations brother!!🔥🎉
13901,Thanks bhaiya iss video se Maine ek chiz Sikh li coding thanks bhaiya coding ninja fail ho gya
13902,Congratulations:D
13903,PAYTM KARO🤣😂💙❤️
13904,very unique video :) awesome
13905,Congratulations🎉
13906,lots of love bhaiya
13907,Congratulations once again
13908,Congratulations bhaiya 🎉🎉🥳. All the best bhaiya for future 🥳.
13909,Love you bhai 👍🏻 congrats.❤️
13910,Congratulations bhaiya ...... ALL THE VERY BEST for your future :)
13911,"Congratulations bro 🔥🔥🔥

Superb se bhi upar video banayi hai bhai 🔥🔥🔥🥰"
13912,Bhai bullet wali video ke baad ye best h 🔥🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️
13913,Ab to ajay bhai company k vlog bnayega
13914,🔥🔥🔥🔥🔥
13915,CONGO🔥
13916,Dekhte dekhte aisa feel ho rha tha as if main hi interview Dene jaa rha hun 😂 really happy for you bhaiya 🔥🔥❤❤❤
13917,Congratulations Bhyia. rona agya tha video dekh kar.
13918,Is paytm open to all branches in dtu???
13919,Creativity level high h bro❤️✨
13920,"gazab hey bhai editing also. bahot bahot badhai bro, love from Nepal"
13921,"Placed in PAYTM

Package 16-17 LPA

."
13922,"Bahi Congo I am also a २nd yr dtu student ,I also wish to be a placed in। atech company ,I can feel the happiness of yours and hope to see thisfor myself in   future,,,congrtas once  again"
13923,Congratulations brother! Karm ka fal jaroor milta hain! Best of luck for your future journey. I'm currently preparing for JEE.
13924,op video
13925,Bhai apka parents na dil jeet liya 🥰🥰🥰🥰🥰🥰🙏🙏🙏🙏🙏 congratulations once again 🥰🥰🥰🥰❤️🥰❤️
13926,Congratulations 👏
13927,Congratulation brother
13928,PAYTM OPPPPPPPPPPPPPPP
13929,Congratulations bhaiya 👍👍👍👍
13930,Congratulations bhaiya 🎉😊
13931,"I have seen this guy improve his videography and editing, basically I have witnessed history 🤝"
13932,"Which video is at 1.09 ?? 
Who is he ??"
13933,Congratulations bhaiii ❤️
13934,He is placed in Paytm...16LPA CTC...10 LPA fixed...2 LPA bonus ..and 6 LPA stocks distributed over 3/4 years
13935,Congratulations 👏👏🥳
13936,7:21 is din ka intezar hai besbri se bs ✌🏻❤️
13937,You did it 🔥🔥🔥
13938,"Bhaiya really i felt goosebumps congratulation to u nd ur family 🙌😻🎉❤
.. Ab mai bhi apna iit jee advanced clear krke is video me aa kr comment krungi..."
13939,Bhaiya tumari editing skills  to pura mast hai
13940,Bhi dill khush ho gya ❤
13941,its paytm with ctc18lpa and inhand 11
13942,"Bhai congratulations 🎊✌🏻✌🏻 finally ❤️❤️

Bss jaldi se video bnado really needed ki kaise round the kitne the kya kaise pucha plzzz"
13943,"That Happiness on Your and your  parents face when they came to know that they you are finally placed has Motivated me a Lot to continue doing Hard work💪

I also have my placements next year but Found Coding very difficult and wanted to give up

But seeing Happiness on Your Parents face has motivated me to do  hardwork like you  and make my Parents Proud too🙌💓😃"
13944,"Nice editing ❤️
Bekar message 🤦🏻"
13945,"At every sec. of this My excitement level at peak🔥.
No words can define this feeling ❤️
Love you bro"
13946,Op bhaiya mast video hai 🔥
13947,"Congratulations 🔥

Amazing video, responsibility bahot bada chiz hota hai hum middle class waalon k lie :)"
13948,"Puri duniya ek teraf, aur maa ek teraf"
13949,For diya bhai ekdum...khub aage badho bro isi tarah..aur bhai op vdeo op editing....🙌🙌
13950,Badiya video
13951,God bless you
13952,"Congratulations🎉🎉🎉🎉 Ajay bhai 
Sach batau to mai bhi bahut intajaar ker rha tha ki aap ye khush khabri kab sunane vale ho or aaj ye Video dekh ke bahut acha laga
Love You ajay bhai ❤❤
Once again very - very congratulations🎉🎉🎉🎉🎉🎉"
13953,Congratulations bhaii 🎉🎉🎉
13954,7:34 tears in my eyes never gonna waste time again in life ...
13955,"Bhai aapne video k liye har interview ka shoot kiya hoga lekin jisme hua wo shoot daal denge, sahi h bhai lots of love 🔥🔥🧡"
13956,Congratulations 🥳
13957,Congrats😊
13958,Badahiya ji badahiya
13959,Bhawal video bnaye ho Ajay bhai. Poori Movie wali feel aayi :)
13960,CONGRATULATIONS BHAI..........Bhai aapne aakhri m tayaari kaise kaise ki uss pe video bana do pls......bahut helpful rhega
13961,Bhaiya javascript likh rahe hai
13962,Gadhwali people r awsm ❣️
13963,Hme Pata hai tume #paytm Mai placement lgi hai
13964,Ab harman bhai ki placement Baaki h
13965,"bhaisabbb
editing op boss!"
13966,Always mom plays an important role in life lessons
13967,Congratulations!!! and the video was amazing
13968,congrats ajay bhaiya
13969,Omedeteo ✨😉
13970,Gjb editing op🔥🔥🔥🔥👍
13971,biya coding konsi language ma krta hoo app 👅❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️💓💖💖💖❣️💖💖❣️💖❣️💖💖♥️💖❣️💖💖❣️💓💓❣️💖💖❣️💖❣️💓💖❣️💖
13972,Congrats Muja referral da dena badma🤗
13973,Bhai your Mom’s Smile❤️🥺
13974,Most awaited
13975,Very happy for you bhaiya❤️❤️❤️ ... Motivate kr diya katayi aapne😌😌
13976,MAZZA AAYA.
13977,Congratulations sir 🎉
13978,Best of luck Ajay bhai.!
13979,Congrats ajay bruh❤️😊
13980,"Bhi tera coding mi mnn tha, to kismi tha"
13981,Congratulations brother 🎉❤️
13982,"Bhai iss bande ko grow hote hue dekha hai sabse pehele laptop ki video dekhi thi lockdown se pehle tab se follow kar raha hu, bhohot khusi hui itne pure emotions ko dekh ke.  Lekin bhai ka bhi reaction dikha dete!"
13983,"What a video mann, tons of emotions in 9:24 minutes ❤Loved it"
13984,Mubaarak ho bhaiii🙂
13985,Bhiya coad C++ me likha hai na? Plz reply
13986,Mothers love is unconditional !! 🥺
13987,Bhai yar 🥺🥺🥺🥺🥰🥰🥰🥰😘😘😘😘😍😍😍🤩🤩🤩🤗🤗
13988,Congratulations Ajay bhai
13989,Package to bata de bhai
13990,"Bhaiya i am eagerly waiting for this video❤
Congratulations"
13991,Bhaiya refral milega kya humae?
13992,"50k nhi yr 60k😕🥰🥰
Congratulations bro
👍🏻👍🏻👍🏻"
13993,"7:22 and 8:37 are best moments 💯💯💯😄❤️
Congratulations Bhai 🎉🎉🔥👍"
13994,Paytm mae lagi hai bhaiya ke
13995,"kabse wait kr ra tha
aa hi gyi finally lol
ab to paisa hi paisa 😁
edit : congratulations to bhul hi gya
mubarak ho bhaiya! <3"
13996,Congratulations Brother ...
13997,Loved every second of the video
13998,Congrats ajaj bhai Mast Full mauj 🔥😄agar location Bangalore h toh kabhi milna jaroor 😎
13999,Paytm mein laga kya?
14000,💯👌👌congratulations
14001,What an editing! ✌️
14002,Very Very Congratulations Bhai... Isi video ka intezaar tha.... Aapse ek umeed jag gai... Vese me to abhi jee de raha hu.. Mera ho jaega Admission (Next Year) to me bhi video upload karunga to aap bhi please congrats karna mujhe acha lagaega.. Reply ya heart jarur karna
14003,Big fan of you Ajay Bhaiya ❤️
14004,Congrats 😁😁
14005,Congratulations
14006,Congratulations 🔥🔥🔥 Aag hi laga di 🔥
14007,"Paytm op
Btw editing skill next level"
14008,Maa ki smile 🔥🔥🔥😍😍😍
14009,Your mom smile remembered me about my mom. That smile. 😇
14010,Congrats bro ❤
14011,I am so happy for you bro 🎉🥳
14012,"Congratulations 🎉 
We were all in this journey with you it seems like we got placed.😂"
14013,Paytm🥳🥳🥳🥳
14014,Bhai awesome video 🥰🥰
14015,"Your video making ability is amazing ,you deserve million subscriber❤"
14016,Paytm😆
14017,"Congratulations bhaiya...
I am waiting to record my parents reaction in 2024😊😊"
14018,"O God ! This made me cry ! Congratulations, hope you have a great time ahead, so happy for you."
14019,7:28 loved it❣️
14020,Congratulations bhaiya
14021,"Top view wala Abhishek se poocha thana?😂😂
congratulations bro 🔥"
14022,Bro editing 🔥🔥🔥🔥 next level man 👌👌 btw kudos for placement 👍
14023,Congratulations Bhaiya! 🎉
14024,Congrats 🎉....so happy to see your journey!
14025,congratulations and op 🔥🔥
14026,Wo khushi jo mummy papa ke akho me dikhi  na maja aagya bro.
14027,Wow that happiness I can feel. First time kaam karne ka mauka + salary  bahut khushi hoti hogi. Best of luck bhaiya
14028,"Editing op....
🤩🤩🤩🥰"
14029,Waiting your video finally  😊
14030,Congratulations 👏 Bade bhaiya
14031,What a video bhaiya....and what an inspiration you gave to us....many many congratulations to u 🎉😀
14032,Your videos hits at another level !
14033,Paytm me 16 lakh ka package lgga hai bhaiya. Congo....😅❤️
14034,Love You ♥️
14035,CONGRATULATIONS AJAY BHAI !!
14036,Video bhai. ..op op... 🔥
14037,"Congrats ajay bhai, hardwork always pays off"
14038,The smile on anty's face ❤️...Congrats @Ajay Raj Bhaiya
14039,op bhai
14040,Congrats Bhai 🎉🎉🎉🎉 bhai ab  tips do kya padha kaise padha kaise preparation kri
14041,"Op bhai 🔥🔥
Congo"
14042,1:43 thanks bhai humein bhi iss journey mein include karne ke liye😊
14043,Congratulations Ajay bhaiya ji 🎉🎉🎉
14044,👏🎉☺️😍
14045,Congratulations bhai ☺️
14046,Congratulations Buddy ✨🎉
14047,Bro m bhi phla bachcha hoo  apni family m Jo engineering kr RHA hu
14048,Congratulations Ajay Raj bhaiya mast 😍💯💯💯
14049,Congratulations 🎉
14050,"This was some next level editing
🔥🔥🔥🔥🔥"
14051,waiting for love Babar sir comment.
14052,Bhai resume bhi share krna apna
14053,"Bhaiya , now got goosebumps, abb gishunga until termination condition
Love you bro
and Mubaarak Ho bhaiya"
14054,Congratulations Bhaiya 🎉 My best wishes for your journey ahead.
14055,"Congratulations  👏bhaiya 
Dil pe lag gayi video."
14056,"Bhaiya Honestly bolu to merko mere Jee ke results ne itna kush ni kiya jitna aapke placed hone ki news ne kiya. 
Love You Ajay Bhaiya❤️"
14057,"Aapko bhaiya insta pr wish kiya aapne rply nhi diya😞, congo for your placement🤑🤑🥳🥳"
14058,Congrats 👏👏👏👏
14059,Konsi company ma placement hu ha bhai ap ki
14060,Quality is awesome 👍
14061,Best Video Ajay Bhai ab tk ki... Phod Diya aapne ekdm Machau bole to...... Kya Shots hai and Congrats Again
14062,aunty ji op 💯🔥 loads of  success to come !!!
14063,7:30 that is the best thing i have seen today....🥺🥺🥺❣️🌸
14064,Bhaii fod diya yrr.... mazaa agya. Congratulations for PAYTM bhaii😎❤️🎉
14065,congratulations bhaiya
14066,"Best moment of the video  07:47 😍
Huge Congratulations 👏
So happy for you...💫"
14067,"Jab kisi topper ka placement lagta hai itni khushi nhi hoti lekin jab ham jaise average bacho ka placement lagta hai tab dil se khushi hoti hai.
Apni placement preparation ke lie motivation mil gya"
14068,Hume rula dia bhai iss video ne 🥺🥺❤️
14069,Slight correction 60 hazar btw congo🤞🤞
14070,Congrats bro....... Nyc 🎥bro.... Hope u coming days favours 4 u
14071,Bhaiya very proud of you........the amount of hardwork you did in these last months was highly respectable🎉🎉🎉🎉🎉🎉🎉.....once again congratulations 💓💓💓🙃🙃:):)
14072,Congratulations aapko
14073,Congratulations Ajay !!! And this video is 🔥🔥🔥 Loved every second of this 💕
14074,Editing level💥💥💥
14075,Bhaiya Saini Bhaiya ka ho gaya
14076,Let me guess Bhaiya 40 lakh kae aaa pass laaga hae sayaad .and congratulations bhaiya.
14077,Editing skills are becoming op🎉 day by day
14078,Congratulations Ajay!!!! You Deserve this....
14079,Bhai❤️
14080,Moj kardi ajay bhai
14081,dope 🔥🔥bhaiyaa congratulations
14082,Congratulations bhaiya finally mehnat rang lai
14083,bhai emotional hogya mai toh
14084,Ek no. Video 💯😊😊
14085,Congratulations Bhai
14086,film maker ban ja
14087,Feelings of middle class student 😭
14088,Congrats bhaiya
14089,Congratulations 🎉 bhaiya
14090,First of all congratulations bhiya 🔥💐💯 again and this video  is totally  amazing  .
14091,Bhaiya Moj Kardi ❤️🙌
14092,Itni zyada mujhe khushi hui thi jab mujhe pata chala ki aapki placement lag gayi🔥🔥🔥🔥
14093,Heartiest congratulations sirji 🔥💖
14094,Ek short film banti hain ispe toh
14095,Hope mil gai 😂😂
14096,Editing level is getting OP day by day!!!
14097,Congratulations bhai
14098,"Bhaiya maza aa gya💖💖💖💖
& congratulations💫💫💫
Keep raising always 🌻🌻"
14099,Aag lga di bhai🔥🔥🔥❤️
14100,Company ka naam toh leak ho hi chuka hai ab CTC bhi leak krdo.. 🔥🔥🔥
14101,Bhai very motivational story ❤️ 🥳
14102,So Happy for u bhai🤘👏
14103,congratulations bro
14104,"so happy for you bhai!! mein bhi jee de raha hoon is year dtu mein ece parne ka bohot mannn hai , wish me luck."
14105,Great bhaiya.. All the best for your future 🥳🤩🤩🥰❤❤❤❤❤❤❤❤❤❤❤
14106,"when(which year)  did u seriously started coding? 
btw congratulations for the  placements 🔥🔥🔥🔥"
14107,Bhaiya please make a video of theory subjects and how you had study these subjects
14108,Congrats bro🙌🙌
14109,"bhaiya aapki insta story to dekhi thi apne ko pata hai kahan hua lol, congratsssssssssss!!!!!!!! yeye"
14110,Yayyyyyy!!! Bigg bigggg congratulations bhaiya ❤️🥳
14111,"Bhaiya kaha se seekh rhe ho
Cinematography and editing
 please I also want to learn 🥺"
14112,Congratulations bro
14113,When u suprised your mom  and dad was the best part. Both reactions were best.
14114,Kya editing hai
14115,Congratulations bhaiya ji 🔥❤️ dil chuu gya yeh video
14116,Bhaiya aap ka interview English mai huu ky
14117,Congratulations bro 🥳🥳🥳🥳!! Now make a video on ur preparation from A to Z semester wise and a video on your Resume .
14118,Congrats bhaiya
14119,"Wah bete moj krdi 
Ab parti dede 🎊"
14120,"Bhai congratulations yr , really i got goosebumps when i saw the notification ❤️🙌. Love you. Brother"
14121,Congratulations bhaiya. But bhaiya aapka   video editing ek namber .
14122,Congratulations 🔥🔥
14123,congrats brother hope i will be able to give this amount of happiness to my parents one day
14124,Are bhaiya moz krdi apne
14125,8:33 mujhe belt lga 😂😂
14126,Maa ke chehre pe jo khushi hoti h usse amazing kuch nhi h dunia mein 🤗🤗🤗
14127,Congratulations bro 🎉🎉. Finally feeling happy for you
14128,Wow bhaiya 🤩🤩🤩
14129,This puts a smile on everyone's face . Proud of u.. #ur senior # made us proud
14130,ye to bhai movie lag rhi hai
14131,Congratulations bhai
14132,Maine bhaiya ko sabse phle congratulations bola tha striver bhaiya k baad 😌🔥🔥🔥
14133,Bhai after watching this video my eyes were literally wet ..your hard work really pays off.. aunty ji kae expressions dekh kar dil bhar aaya....all the best brother ❤️😍
14134,"Bhaiya next video on aapne Kahan se teyari kari , resources and sab .
Ispe Bana do bhaiya pls needed 🥺🥺"
14135,Paytm ma laga
14136,Congratulations for placement 🎉🎉and the editing is superb.
14137,Mai toh andar se toot gai thi prr tujhe dilasa de rhi thi hit me at another level
14138,Khushi dekh rahe ho bhaiya ki🙂🙂🙂
14139,"Ik the company, it's Paytm. Congrats bro 🔥"
14140,Congratulations ❤️
14141,7:24 literally i cried🥺... love u ajay bhaiya.
14142,Congratulations bro
14143,Bhaiya aapp ko dekh ke hame bhi motivation milta hai
14144,Congratulations  bhai.... finally💯
14145,Bhaiya tips and tricks dedo
14146,Bro I was tensed that you did not upload a video for such long . Love you bhai ❤️🙏
14147,"phele 1.5 min mein goosebumps aa gye ajay bhai
Congrats Bro"
14148,Badhaii hooo balle balle😁
14149,Congratulations 🎉.... I really hope mera bhi jldi se hojae kahi🥺
14150,I can see the happiness on ur face ❤️
14151,"Areee bhaishab video quality suddenly ......1 se 1000 kese hogyi😂😂🤐 
Hmee bhi btao raj ....raj bhaiya💞😜"
14152,"Congratulations bhaiya ❤️❤️
Editing level OP×100 🔥🔥"
14153,congrats bro
14154,"You r a legit youtube and how a content creator should be 
Just keep up this work 
I really like your videos"
14155,"When aunty said : "" Main bhi andar se toot gayi thi , tujhe dilasa de rhi thi "" 

That's the role of your mother in your life ❤️

PS: thanks for the likes😀"
14156,Mst bhai👍❤💖🎉
14157,Very Congratulations Brother 💐💐
14158,So cool
14159,Congrats bhai❤
14160,Make a video on how u edit & channels u follow for editing purpose
14161,OP🔥🔥
14162,Bhai ankho me Aasu aagaye
14163,❤️❤️❤️❤️🥳🥳🥳🥳
14164,Awesome bhai
14165,"Bhaiya ek qiestion he mere liya life changing please reply 
😭,, If I have done schooling from Delhi and and my obc caster certificate is from mp and I also belong to mp then may I able to get obc caste certificate issued from nct delhi to get obc quota in dtu/ nsut ..please"
14166,The smile on mother face 💖
14167,Congratulations bhai 🎉🎉🎉🎉🎉
14168,congratchulations bhai
14169,"Ye video banane ke liye hi placement nikali hai 😂.

Hope we will hit 10k likes soon 💯🔥"
14170,Congratulations
14171,7:44 that happiness next level ☺☺
14172,Congrats bro 🔥
14173,Congratulations bhai 🎉❤️
14174,Congrats bhau🔥🔥🔥🔥🎊🎊🎊
14175,Congratulations Bro 🔥
14176,Maza aa Gaya bhaiya
14177,congracts bhaiya
14178,"Ajay bhaiya aapke physics k teacher (srj sir) abhi hame padhate hai aapko vo sir 2017-18 me padhate the drop year me kya aapko vo sir yaad hai 🤔🤔
Edit:- also sir is very happy because you are finally placed now"
14179,Parents are the only one who always motivate us
14180,I will be waiting your post .congratulation bro👍👍👍
14181,"Oo bhai Sahab...op brother...
Pata nehi ap par bohot khusi he hame..❣"
14182,"Congratulations bro 💯🔥
Bhai kon si company mai hua hai"
14183,Bhaiya pehli baar itni jaldi aya hu insta se pin kardo ab to bas 😍😁
14184,"Much awaited video after your insta post, And believe me this was worth watching, got many things and clarification.👍 Mazaa aa gaya video dekh ke."
14185,Bhai ♥️♥️♥️♥️♥️♥️♥️
14186,"Congratulations bro ❤️❤️ 
kaafi din se wait tha iska!"
14187,1 no. Bhaiya . Pro level 🙏🙏🙏🙏
14188,I was waiting eagerly for this one . all the best bhaiya for the coming future.
14189,Bhaiya company konsi
14190,i was waiting for this video since 3days. finally here
14191,Gjb
14192,First 50 sec into the video and yes i need to pause the video and comment this - bhai ur videography and editing skills have improved a lot and inspiring many students as well⚔️
14193,Bhiya waiting for the new placed video from more than 20 days you i like our mentor best wishes for the new journey
14194,Bhaiya lots of love to you from Rohini Delhi . Your videos too good
14195,"Yrr 
Yaad ha apne ek baar apni YouTube ki income integration se bataya tha 
Waise hi apna package bata do 😂😂😂"
14196,"Congratulate brother bhai


Party to banti hai bhai❤️❤️❤️❤️❤️"
14197,Bhaiya esa lagra h movie hai😎💯
14198,Mast bhai ❤️🔥
14199,Faadu video 🔥 🔥
14200,Ab bhaiya se referral mangenge 😀😀😀😀
14201,"Bhaiya Apki Height Kitni Hai ?? (Respectfully)
Just For Info"
14202,Moj krdi bhaia
14203,Bhai one heart plz😍✔️
14204,Congratulations🎉
14205,Mauj kardi 🔥
14206,Congratulations once again.... Now 'ajay raj' channel will be first priority again 🔥🔥🔥
14207,"Just 1 min pehle maine iske baare me socha aur abhi abhi ye release ho gaya 
Love you ajay bro  ❤❤❤❤"
14208,Good
14209,"Finally the wait is over 
we were waiting for the video after the previous post
Congratulations brother 🥳"
14210,congo bro
14211,Best edited video on this channel🥳🥳🔥🔥🔥🤩
14212,Congrats brdr
14213,Ajay Bhaiya Dawat kb doge😏
14214,🔥
14215,🤗🎊
14216,Aree va aakhir kar mehnat rang laii😅
14217,Congrats 🎉🎉 bhai😍
14218,GFAF☠
14219,Blv me or not. Watching hrithiks vdo suddenly see your notification.just yesterday i was thinking about you.Great great news brother.All the best
14220,"Bhai was so much worried about the video , that he cracked placements for it only 
Sahi bola kya ? 😂"
14221,Vai party 🎉🎉
14222,Kabse wait krra tha bhai 😅👀👀
14223,Good newzz
14224,First like nd comment
14225,Bawall baba 🤩🤩🤩ag laga diya apne to 🤩
14226,Pacakge kitne ka haii ????
14227,Congo 🔥
14228,Wowwwwwww
14229,Yar ye btao karna kaise hai not promotion of coding ninjaj
14230,Wowww
14231,First view
14232,Finally video out 🔥🔥🔥🥳🥳🥳🥳
14233,2nd comment?
14234,Hello ajay bhai lot of love
14235,Bhai party 🔥🔥
14236,I m waiting for this video from so long😎
14237,I m waiting for this video from so long😎
14238,TV par dekhne k alag hi maze the bhai !!!!!😮
14239,Congratulations🎉🥳👏
14240,"Congratulations bhaiya 
Paytm"
14241,Congo bhaiya
14242,Bhaiya ee placement in dtu complete stats
14243,Finally ajay bhai 😍
14244,I was waiting for this hehehe PLACEDDDDDD
14245,Love you Sir ❤️⭐🤘
14246,First view
14247,Congratulations 🎉🎊👏🎉👏 congratulations 🎉🎊 congratulations
14248,🎉🎉🎉🎉🎉🎉🎉
14249,1st view
14250,Congrats bhaia
14251,First
14252,Congratulations
14253,First
14254,Woow
14255,First
14256,🤞
14257,bhai ye video dekh ke me 3 re clear krdi 1 saal ho gaya us baat ko aaj fir se dekh raha hu kyuki fir se ek re aa gai 😂😂😂😂
14258,"Same conditions bhaiya , 
Now i am studying in 1 st year"
14259,Bhaiya aapki overall cg kitni bani thi??
14260,Bhai tum mere mentor ho jabh bhi man nhi lagta motivation dete ho now i am alone no one with me you are my best friend 🤩🤩🤩
14261,"I have my 1st sem offline on 7feb. 
Lagta nahi pass ho paunga 😔😔😔"
14262,Bhai mai bhi hua hun
14263,Apka bhai hua hai communication skill 2 may 😅
14264,0:20 koi nahi hota h yaar
14265,badia video hai yr❤
14266,2:35 ye koi aadat nahi hai bro it's called OCD (obsessive compulsive disorder) It's very common lekin agar ye zyada ho jaye toh isse bohot problems aate hai heath par. Mujhe bhi pehle aisa kuch tha phir maine bhi recover kar liye
14267,Bhaiya ek baat puchani thii kee meri 1st semester me back lagi thi or mane use clear kar di thi  2nd semester  hii to abb me placement me bedhh ne jaa raha Hu means thode month baad to kya me. On campus placement me bedh  sakta huu koi eligibility cateria ko laker rejection aa sakti hee ? Yee galti se meri  lab(practical) me lag gai thi or mere three years ke agrigate CGPA 8.87 hee  please  reply me🙏
14268,"Cleard but say reall
R u really failed is semester"
14269,In which company u doing job bro and ctc....?
14270,Bro really u failed in exm
14271,"“updated successfully” likha hua aajata hai neeche, save button click karne ke baad"
14272,😂😂
14273,"FREEE  live lecture
 https://youtu.be/LhVjUVmAdaI"
14274,bhaiya apki branch kon si h
14275,Bhai agar 1 sem me 2 kt lag gya to job me dikhat hoga?
14276,Bhai mere aarhi h 3rd sem m 2 back to kya voh 5th sem m hi clear hogi ya fir or bhi koi tarika h?
14277,"Sir kya college ke minors me agar 2 sub me fail ho gaye toh kya back laga diya jaata hai?
Minors = 20 marks test before semester exams"
14278,Bhai tumhari flashback vali harkate meri present m h kaise improve kia 😂😂
14279,I been alwayse tortured by Indian education  system.
14280,Bhai please mujhe batado mai kon sa branch lu mujhe samajh me nahi araha ... Mai jada padhai me tej nahi hu please reply 🙏
14281,A+ bhi apki cheating se ayi ya mehnat
14282,Bhaii your editing is just killing 🔥🔥
14283,"By god , bhaiya ye sab mere saath abhi bhi hota hai daily.So reletable. Hum first year of college mei hain phir bhi ye aadat nahi gayi.😢💕"
14284,How you can make your thumbnails dude ?
14285,"Bhaiya tusi great ho ..
I really love your content 😀👍..
You are one of my Ideals 🔥❤️..
I will definitely try to be a creator like you 😀😀❤️"
14286,Hi bro
14287,Woh last part 🙌
14288,😥😥
14289,Ye banda mujhe itna mere jaisa lagta haina. Forgetful careless but somehow manages.
14290,Bhaiya ap apni 10th ka bad ki story bataya
14291,End eak number tha maja aa gaya😂🤗😊💓❣️
14292,Mera bhi online exam me back laga hai bhaiya
14293,😍😍
14294,Overthinking pr ma kesa control karuu
14295,Bhiya ji mera sang bhi asa ho to hai
14296,Your video are really good 👍
14297,"Bhaiya ye kya kar dia :(
i hope sab thik karde apke college vale"
14298,"Bhai ye gol gol ne apko ghuma diya,,😃😃"
14299,"Arise, Awake Stop Not till the goal is reached."
14300,Same case hua bhai merai sath bhi par mera case technical error ka hai
14301,"Now waiting for Ajay Raj films 🔥
As always editing op 🔥"
14302,❤❤❤
14303,Same mere sang bhi hua hai 3rd sem me
14304,"Mere saath bhi same hua, F aaya dono mei🥲🥲"
14305,"what was that last part 😂😂😂😂 
i really not get it"
14306,fig fan bro
14307,Bhaiya aapki height kitni hai??
14308,"ye pta hai kyu hua..
Bhaiya apna fresher vale video ka pin comment check kro😅"
14309,BG mein Kutta bhi dukhi hain 😂
14310,"Aacha elective subject 
Tab sahi hain
Same issue 😂"
14311,"Video ek no ...
But fail kaise hogye"
14312,Music 😌
14313,Bhaiya aisa thumbnail mat daalo abhi abhi FE me admission liya hai😂😂
14314,🤣🤣🤣🤣
14315,@ajay raj can you tell me what can I do if study become boring and I am very sad due to not much understanding. I want a life of chill and relaxed but I am nowadays confused and sad. Can you help me. By the way I am a student of dtu 1st year
14316,"I commented in some video that Online Semester is best as we got max free time so we can learn new skill ,
But meanwhile students of Non cse branch student started protesting in the comment section 😂😂"
14317,😂❤😂
14318,BHAI MERI 3   PAPER  BACK HO GAYI LOCKDOWN MEH PHONE KA LCD TUTA AUR     BUJANA NAHI PAYA   PLZ MERI    LIYE PRAY KARE  MEH PASS    HO JAO
14319,Result be like: Saale teri naukri kha jayunga mai😁😁
14320,The last BTS shows the real struggle! 🤣🤣🤣🤣
14321,"Reading Title , I thought of 3 Idiots 
Job Rahegi ya ..."
14322,Script+editing 😂🔥🔥
14323,"sir kaafi relatable the kuch parts..0:52-1:52, 2:36-3:38 aur 5:24-5:34..aur overall bhi kaafi acchi lagi video.. expecting more such and even better stuff from you ❤️❤️❤️"
14324,Ye bhi sahi hai ;)
14325,"cerificate nhi chada tera 
jaake admin waalo se baat kr 
btw from From dtu ece.....❤❤"
14326,Masttt
14327,SAME HAPPENED WITH ME I GOT BACKLOG IN ONLINE SEMESTER
14328,5:25 I feel that moment
14329,Behind the scenes 👌🔥
14330,In the Last r u Crying...?? If u r don't cry Galti se reh gaya hai yrr...Lots of Luv Bhaiya Keep Going...✨
14331,"this man gave life to quote ""It's all upto you find beauty in ugliest days "" proud of u boiiii ♥🔥"
14332,BGM op 🔥
14333,Ninja hathori
14334,Next level editing👍👍
14335,Wah bhai maza agaya video dekh ke 🤣
14336,this man is making next level of content
14337,bhai aap kuch bhi banao  mst hi h
14338,Bhai aap abhi konsi company mai placed ho?????????
14339,Bhai aap abhi konsi company mai placed ho?????????
14340,"Soon Squad 1,00,000"
14341,Kuch bhi video banadi ..... Ehsan kiya 5 min ki video bana k
14342,toh video kyu bana rha hai saade
14343,Bhaiya joo aadat apki thi voo meri bhi ha 😂😂😂
14344,"Brooo.......
U R Competitive Content Creator man🔥🔥🖤🖤💯💯😂😂"
