,Comments
268,"In today's world which is better to learn,jaava or c++..... which course should a non tech student opt for.... which institute"
269,Trip video upload please sir
270,Face shape = ajay raj
271,Superb
272,"Bhaiya kya mast body 💪 banaye ho ! Mujhe bhi banna hai aisa , I m in the same journey, following you since tech skool
greek god 🍷🗿 ajay bhai sexy ajay, 
Im your big fan, love your editing, cinematography, vlogs, etc everything , keep it up bro ! ❣"
273,Price high.. can u suggest a monitor in less price?
274,Whats the difference between FHD model and QHD model with same 27 inch but 6k difference
275,aur Bhaiya aa gayi youTube ki yaad😅😅
276,Bro I can relate with all your videos! ❤🤘🤘keep making such amazing videos for us 💪
277,#ajayraj 🥳❤️sexy bhai
278,"It can damage your MacBook ports if you use it for charging your laptop too. Many of the users complained regarding this. It maybe because the output volt is of 65W.

Use it with the HDMI cable not USB

@ajayraj1 Can you please post an update regarding this"
279,"Bhaiya external keyboard and mouse lelo, setup aur bhi filled and aapka workflow bhi increase ho jyega to some extend!"
280,Bhai your voice🔥
281,Bandar jaisi shakal wale log bhi vlog banane lage hai
282,Tumne dsa kiya hai ?
283,Isbaar bhai tujhe naaptol waley hire karenge pakka tu dekh liyo😂😂
284,Bhai tu hilaana band krde yrrr😅😅
285,U do wfh ?
286,Bhaiyaa video jaldi jaldi banate raho
287,Tech Skool 😂
288,Guru ji linkden to accept kr lo mera 🙏
289,Best editor🔥🔥
290,Pranam Guru ji 🙏🙏🙏
291,Ajay bhai best editing as always 🔥 bas ek workout video ho jaye 😂
292,PEFERCTION ------> 1:17  IN 0.5X
293,Your Editing ❤‍🔥🤌🤌
294,bhiya aapki ladakh ki video bahut hi mast hai aise hi video jaldi jaldi lekar aaya karo
295,Bhaiii kaha se kaha aagya h production level🎉
296,I just posted my first video today facing camera.... watching you give me motivation ❤
297,Nice video 👍👍
298,Coder k bad Vlogger aur abb unboxing k line me aa gaye aap 🤧🤧😂😂
299,Bhai Teri vlogs ka jesa wait mai karti hun na kisika video ya msg ka wait nhi karti sachi nhi karti dala kar video aur apna khayal rakhna engineer❤
300,body builder
301,🤗🤗🎉🎉👍👍👍
302,"yeahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh Ajay is back, do some more stuff man, I missed you a lot."
303,I am waiting for your new cinematic style blog video 😍
304,your biggest fan ajay
305,Next vedio k liye ab kya firse 1-2 month ka wait krna padega ?😢
306,great brother keep growing aur vlog kab ara ha
307,Bhai kya yaar video banayi to wo bhi monitor pe😢
308,Aaa yea
309,Spiti ki video kab aayegi sir ❤️❤️
310,First
311,"Oh bhai😍
Apne soldier ko AWM with 8x mil gayi, ab toh tabahi hogi🔥💯"
312,Bhai tumhari voice yogi adityanath ji se match hoti hai
313,Amazing video ❤
314,Smile to dekhi londe ki 😘🥰. Mast Bhai
315,Bhai mai chaap rha hu ye video.
316,ajay raj se irfan junejo :)  bn gya bhai
